,vaga,empresa,localização,salário,requisitos,job_url
111,ANALISTA DE CUSTOMER SERVICES JÚNIOR,Neogrid,"Home office in São Paulo, SP",,Experiência prévia em Suporte VIP/Exclusivo;,
112,Analista Junior de Business Intellingence,Verisure,"São Paulo, SP",,"Experiência prévia em trabalhar com alto volume de dados;Coletar, analisar e reportar dados de clientes, buscando alavancar os resultados das áreas de…",
113,Analista de Qualidade Youtube Music,Cognizant,"São Paulo, SP",,"Habilidades de análise de dados e pesquisa de ""charts"" e tendências da música no Brasil;Atuamos em diversas frentes: Digital Business, Cognizant Operation,…",
114,ANALISTA DE DADOS SENIOR – ESTATÍSTICO,BANCO BBC Digital,"São Paulo, SP",,"Responsável por toda gestão de base de pré-aprovados;Experiência avançada com ferramentas analíticas em de ponta: SAS, R, Phyton;",
115,Analista de PrevenÃ§Ã£o de Perdas,Shopee,"São Paulo, SP",,"The Operation teams at Shopee covers the operational end-to-end process, from when the buyer searches for a product listed on the Shopee platform, to the moment…",
116,CX - Analista de Treinamento Junior,Daki,"São Paulo, SP",,"Como analista de treinamento, seu papel será nos ajudar a capacitar e desenvolver o time de analistas de Customer Success.",
117,Analista de armazenamento (backup),Unisys Colombia,"São Paulo, SP",R$ 11.000 - R$ 12.000 por mês,"Proteção de dados EMC e aparelhos de backup da Dell.Analisa meios alternativos de derivar dados de entrada para selecionar o método mais preciso, viável e…",
118,Analista de Analytics,Shopee,"São Paulo, SP",,Criar modelo de dados e executar iniciativas de Data Science junto ao time de BI.Contribuir com ideias criativas e inovadoras no intuito de estabelecer o…,
119,Analista de Testes e Parametrização Jr,Job Boards,"Home office in São Paulo, SP",,09h as 18h – horário flexível.,
120,Vagas de emprego: Job Boards,Job Boards,"Home office in São Paulo, SP",,09h as 18h – horário flexível.,
121,Vagas de emprego: Telium,Telium,"São Paulo, SP",,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,
122,DSV,DSV,"São Paulo, SP",,"Responder às propostas de licitações, buscando as melhores opções/soluções para o cliente. Analisar a documentação da licitação, verificando todos os…",
123,Vagas de emprego: Jobbol,Jobbol,"São Paulo, SP",,"Fintech admite Analista de Dados BI em São Paulo para atuar em Tempo integral, Comercial. Aplicar os conceitos de banco de dados e modelagem nos projetos de…",
124,Cheil Brasil,Cheil Brasil,"São Paulo, SP",,"DESCRIÇÃO DA VAGA Missão do Cargo Garantir toda a entrega de mídia para a conta gerenciada, desde o planejamento de campanha até a implementação, gestão de…",
125,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,"Auxiliar no entendimento e execução caso Usuário ou Cliente não saiba ou não consiga realizá-lo;Monitorar, resolver ou acionar os responsáveis por serviços…",
126,Vagas de emprego: EDC Uni & Smart,EDC Uni & Smart,"Home office in São Paulo, SP",,Preparar reports junto as áreas de negócio nas ferramentas de BI disponível na empresa.,
127,Vagas de emprego: LETS,LETS,"Osasco, SP",,SEJA BEM-VINDO! SOMOS A LET'S Nossa missão é fazer mais e melhor a cada dia! Somos obcecados por resultado. Nosso maior objetivo é respirar inovação em…,
128,Vagas de emprego: GeekHunter,GeekHunter,"São Paulo, SP",R$ 6.000 - R$ 8.000 por mês,Conhecimento extenso dos conceitos de modelagem de dados;Automatizar Planilhas através de Macros/VBA;Desenvolver Relatórios Gerenciais em Excel;,
129,Multilog,Multilog,"Barueri, SP",R$ 2.500 - R$ 3.000 por mês,"Realizar o cadastro em sistema ou formulários, relativo a contagens cíclicas realizadas, visando gerar informações para consolidação de dados.",
130,KPMG,KPMG,"São Paulo, SP",,"Ligar para uma lista de ""suspects"" para prospectar novas oportunidades, identificando LEADS (outbound).",
131,Vagas de emprego: Macfor Marketing,Macfor Marketing,"Home office in São Paulo, SP",,Otimização de campanhas para gerar melhores resultados;Propor peças para o time de criação;Experiência sólida comprovada com resultados consistentes em gestão…,
132,Vagas de emprego: Strati,Strati,"São Paulo, SP",,"Vamos além da carreira, queremos que você tenha disposição, saúde, bem-estar físico e mental para ter a melhor das jornadas (pessoal e profissional) da sua vida…",
133,Vagas de emprego: The Bridge Vagas,The Bridge Vagas,"São Paulo, SP",,"Tratamento de dados (estruturados e não estruturados), cargas em data lake, bancos relacionais e dimensionais.",
134,Orizon Brasil,Orizon Brasil,"Home office in Barueri, SP",,"Desenvolver as atividades referentes à extração e transformação de dados em SQL.Imprescindível experiência com análise SQL, Big Data e Dashboards (PowerBi).",
135,Orizon Brasil,Orizon Brasil,"Home office in Barueri, SP",,"Desenvolver as atividades referentes à extração e transformação de dados em SQL.Imprescindível experiência com análise SQL, Big Data e Dashboards (PowerBi).",
136,Vagas de emprego: Digio,Digio,"Hybrid remote in Barueri, SP",,"Realizar o analise dos dados para identificar e entender anomalias;Extrair, armazenar, analisar e modelar elevada quantidade de dados desestruturados,…",
137,Vagas de emprego: Divulgações,Divulgações,"São Paulo, SP",,"Analisar o mercado onde a empresa está inserida, como: país, cidade, região, segmento, etc; Elaborar planos estratégicos financeiros; Analisar dados…",
138,SBT,SBT,"Osasco, SP",,"Trabalhar com sua liderança para priorizar demandas de dados;Auxiliar na construção de uma área de dados, no time de Inteligência de Mercado;",
139,Vagas de emprego: Fretebras,Fretebras,"Home office in São Paulo, SP",,"Somos um time que trabalha para transformar o nosso transporte e construir processos mais eficientes entre tecnologia, inteligência artificial e pessoas.",
140,Iterative,Iterative,"São Paulo, SP",,"Para assumir essa posição no nosso time, precisamos que você saiba:Trabalhar com troubleshooting básico de rede (Ping, Traceroute, DNS, VPN);",
141,Vagas de emprego: Consultoria Acerta,Consultoria Acerta,"São Paulo, SP",R$ 3.188 por mês,"Gerir a ferramenta de roteirização elaborando a programação de rota e percurso dos veículos, visando otimização de.",
142,Itaú,Itaú,"São Paulo, SP",,Realizar os pagamentos e acompanhar os extratos em sistemas próprios.Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).,
143,Mills,Mills,"São Paulo, SP",,"Será responsável pelas estratégias de coleta, armazenamento e integração de dados (ETL) das soluções, considerando pilares como segurança, performance e…",
144,Vagas de emprego: Benê.com.vc,Benê.com.vc,"São Paulo, SP",,Superior completo ou cursando em áreas afins.,
145,Buonny,Buonny,"São Paulo, SP",,"Modelagem de dados SQL/Teradata, Big Data;Estruturação de base de dados para análise comerciais;Conhecimento de Big Data (Spark, Cloudera, Hadoop) e Python;",
146,Vagas de emprego: Shopee,Shopee,"São Paulo, SP",,"Atuar no tratamento de bases, setups e ferramentas.Já trabalhou com e-commerce ou varejo.Experiência em automatização de reports manuais por VBA/Python/SQL.",
147,EY,EY,"São Paulo, SP",,Experiência com infraestrutura Java e banco de dados;Reunimos a América Latina para co-criar respostas inovadoras para resolver os problemas de negócios mais…,
148,L'Oreal,L'Oreal,"São Paulo, SP",,Suportar o time de vendas e S&OP com o repasse de informações solicitadas e apoio junto aos clientes.Desenvolver um trabalho de otimização em parceria com o…,
149,Vagas de emprego: Empowermind,Empowermind,"Home office in São Paulo, SP",,Mínimo de 3 anos de experiência como analista de marketing digital ou analista / cientista de dados.Coparticipação no pagamento de cursos de interesse da…,
150,Sodexo Serviços,Sodexo Serviços,"São Paulo, SP",,"Identificar fontes de dados e estruturar base para análise estruturada da concorrência, com o desenvolvimento de dashboards de suporte à tomada de decisão;",
151,iugu,iugu,"Hybrid remote in São Paulo, SP",,"Fazer parte de um time que faz a diferença.Acompanhar KPIs chaves de relacionamento (Retenção, LTV, NPS, etc);",
152,Vagas de emprego: Cipher,Cipher,"Home office in São Paulo, SP",,"Desejavel 6 meses de experiência em cyber segurança e na realização de pentests.Conhecimentos em Redes TCP/IP, protocolos WEB.",
153,+1 local,Inklua Servicos Para Inclusao de Pcd Ltda,"Home office in Alphaville, SP+1 local",R$ 4.000 - R$ 5.000 por mês,"Apoiar as atividades de treinamento e desenvolvimento de novas redes, acompanhar novas unidades no período de Onboarding, interagir com o Marketing (interno e…",
154,Vagas de emprego: Grhats Consultoria em Recursos Humanos,Grhats Consultoria em Recursos Humanos,"São Paulo, SP",R$ 4.500 - R$ 5.000 por mês,"Experiência na área de análise de dados.Ensino superior completo em Matemática ou Estatística, ou Física ou Engenharias ou Ciência da Computação;",
155,Vagas de emprego: IdealHKS,IdealHKS,"Home office in São Paulo, SP",,"Como parte da rede Hill + Knowlton, um ideal da H + K Strategies, está inovando ou futuro das relações públicas.",
156,Vagas de emprego: Ecoscar serviços de suporte em cartoes inteligentes ltda,Ecoscar serviços de suporte em cartoes...,"Home office temporário in Pinheiros, SP",R$ 1.250 por mês,"Conhecimentos básicos / intermediários em banco de dados SQL.De segunda à sexta, das 9:00 às 18:00.Ensino Superior cursando ou interrompido (Preferencial).",
157,Sherwin-Williams,Sherwin-Williams,"Taboão da Serra, SP",,"Apoiar os clientes da carteira com base na análise de KPIs (vendas, preço, margem, etc);Conduzir reuniões e apresentações para o time comercial e para gerência…",
158,Vagas de emprego: Athon Energia,Athon Energia,"São Paulo, SP",,"Conhecimentos em base de dados ou SQL, ACCESS.Analise de Base de dados em SQL e indicadores de geração das usinas.",
159,CCEE,CCEE,"Home office in São Paulo, SP",,Pessoas com deficiência são bem-vindas em nosso time.Será responsável por atender os chamados internos e externos de 1º nível e 2º(presencial ou remoto) de…,
160,Share RH,Share RH,"São Paulo, SP",,Extrair dados para explorar e responder perguntas feitas pelas áreas;Conhecimento em SQL e Power BI;Gosto por operacionalizar o trabalho da melhor forma…,
161,Vagas de emprego: dr.consulta - CORPORATIVO,dr.consulta - CORPORATIVO,"São Paulo, SP",,Realizar alinhamentos médicos referente aos indicadores de qualidade de atendimento;,
162,Vagas de emprego: Valemobi,Valemobi,"São Paulo, SP",,A Empresa O TradeMap é a maior e mais completa Fintech brasileira de investimentos com o objetivo de revolucionar o mercado financeiro através da…,
163,Itaú,Itaú,"São Paulo, SP",,Processamento de operações que integram nas carteiras;,
164,Vagas de emprego: Trabalhe Conosco Fibra,Trabalhe Conosco Fibra,"São Paulo, SP",,"Experiência com estruturação e manipulação de base de dados;Por isso, buscamos profissionais que se movem com agilidade.",
165,Analista Risco de Crédito,Trabalhe Conosco Fibra,"São Paulo, SP",,"Experiência com estruturação e manipulação de base de dados;Por isso, buscamos profissionais que se movem com agilidade.",
166,Analista de Suporte Pleno,TIXIT,"São Paulo, SP",R$ 3.200 por mês,"Instalar e configurar Sistemas Operacionais (Windows, Linux,), programas de e-mail, antivírus, Pacote Office, etc.",
167,ECS |ANALISTA EM CONFORMIDADE DE GOVERNANÇA DE DADOS,Serasa,"São Paulo, SP",,"Desenvolver processos e padrões para apoiar os Data Owners e Squads nas dúvidas sobre ingestão, armazenamento, consumo, distribuição e controle de dados…",
168,Data Analyst,Capim,"Home office in São Paulo, SP",R$ 5.000 - R$ 10.000 por mês,Planejar e construir fontes de dados fáceis de consumir para as áreas de negócio e outros usuários de dados.Incentivar dentro do time uma cultura data-driven e…,
169,Analista Contabil,GPS Pessoas - Gestão de Performance Sustentavel,"Home office in São Paulo, SP",R$ 3.200 por mês,"Formato de trabalho: ( x ) Híbrido, sendo: 2x semana escritório e 3x em home office. Por tempo indeterminado. Horário de trabalho: Das 8:00 às 17:30 com…",
170,Analista de Tráfego,The Remax Collection Imobi,"São Paulo, SP",R$ 2.500 - R$ 5.000 por mês,"Requisitos Superior Completo em Marketing, Marketing Digital e Mídias Sociais.",
171,Analista de Inteligência de Mercado JR,Padrão,"São Paulo, SP",,"Desejável experiência com análise de dados, planilhas, gráficos, etc.",
172,Analista de Projetos Junior,GRUPO MIRASSOL,"Guarulhos, SP",,"Atividades: - Participar do desenvolvimento de projetos de estudos logísticos, expansão e melhorias operacionais; - Mapear processos em campo através de…",
173,Analista de Infraestrutura de TI - Sênior,Verisure,"São Paulo, SP",,"Monitorar servidores, tais como Active Directory, File Server, GPRS, Exchange, Base de dados e Firewall diariamente, garantindo o bom funcionamento de todos;",
174,Analista de Banco de Dados,Oficina de Talentos Cons Asses em Rec Humanos Ltda,"São Paulo, SP",,"Atuará com Banco de Dados SQL Server, ferramentas de ETL, scripts e rotinas automatizadas.Necessário experiência com SQL Server (tabelas, backup, arquivos de…",
175,Analista de RPA (Home Office),CXdzain,"Home office in São Paulo, SP",R$ 4.000 - R$ 5.500 por mês,Manipulação de dados em banco de dados e ferramentas de BI a fim de automatizar processos informacionais e ou de apoio operacionais.,
176,Banco Original - Analista de Dados Pleno,Original,"São Paulo, SP",,"Será responsável por extrair, analisar e monitorar dados referente às decisões da política no motor de crédito;",
177,Analista de Dados Junior,Willis Towers Watson,"São Paulo, SP",,"Desenvolver dashboards em Power BI.Experiencia no desenvolvimento de dashboards na plataforma PowerBI.Conhecimento avançado em Power BI, Excel e Access.",
178,Analista de Dados (B.I),Social Tailors,"São Paulo, SP",,Description: Estamos à procura de um(a) Analista de Business Intelligence para realizar relatórios e análise de dados participando com insights estratégicos…,
179,Analista de Dados Power BI Sênior,Taking,"Home office in São Paulo, SP",,"PYSPARK para o ETL, portanto, seria muito importante esse profissional conhecer PYSPARK;Necessário conhecer muito bem mesmo o POWER BI (M, DAX, visuais etc).",
180,Duratex,Duratex,"São Paulo, SP",,Analisar as informações das bases de dados;Interpretar e corrigir scripts em SQL com o intuito de manter a integridade dos dados;,
181,Globo,Globo,"São Paulo, SP",,Os seus dados pessoais serão utilizados para fins de seleção de candidatos para preenchimento das vagas abertas na Globo.,
182,Santander Brasil,Santander Brasil,"São Paulo, SP",,"#QUEM SOMOS O Santander é um ecossistema em crescimento, que tem um propósito claro: o de apoiar as pessoas e os negócios a prosperar. Em todos os negócios,…",
183,Vagas de emprego: Vertem,Vertem,"Barueri, SP",,Estamos montando uma seleção de talentos para revolucionar o mercado de Loyalty e o mercado de Data Science no Brasil.,
184,Restoque,Restoque,"São Paulo, SP",,"Na Restoque, acreditamos que o nosso time é quem gera o nosso sucesso!Desejável ter experiência com o varejo;",
185,Vagas de emprego: Principal,Principal,"São Paulo, SP",,Criação de recursos no Azure (ou nuvem pública em utilização);Tagueamento de recursos dentro dos resource groups;,
186,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,"Recém formados em exatas (Ex.: Engenharia, Matemática, Física);",
187,ACCORHOTELS,ACCORHOTELS,"Home office in São Paulo, SP",,"Organizar os dados para os indicadores mensais internos da área.Analisar contas patrimoniais e de resultado, baseando-se em demonstrativos contábeis…",
188,Vagas de emprego: ITAPEVA Recuperação de Créditos,ITAPEVA Recuperação de Créditos,"São Paulo, SP",R$ 3.500 por mês,"Conhecimento em pelo menos uma ferramenta de integração de dados OLAP(SQL Server Integration Services, Pentaho, Alteryx, etc);",
189,Britvic Brasil,Britvic Brasil,"São Paulo, SP",,Controle dos pagamentos internos da área.,
190,Leroy Merlin,Leroy Merlin,"São Paulo, SP",,"O Analista de Gestão Supply Pleno é responsável pelo tracking do custo logístico unitário e por atividade/fluxo, além das receitas da Supply Chain e interações…",
191,JBS,JBS,"São Paulo, SP",,"Bom conhecimento em Excel e análise de dados;Cadastros gerais da logística, por exemplo, veículos;Acompanhar os gastos das principais contas de frete;",
192,XP Inc.,XP Inc.,"Home office in São Paulo, SP",,"Operar o canal Confidencial da XP Investimentos, garantindo excelência nas apurações, direcionamento e promovendo um ambiente ético e transparente dentro da…",
193,,Connect2B Agência de Propaganda e Marketing,"Home office in São Paulo, SP",R$ 5.000 - R$ 5.500 por mês,Ensino superior completo em Publicidade ou Comunicação Social;Experiência em Planejamento de Marketing;,
194,Vagas de emprego: SHP TECNOLOGIA EM SISTEMAS DE INFORMÁTICA,SHP TECNOLOGIA EM SISTEMAS DE INFORMÁTICA,"São Paulo, SP",R$ 2.500 - R$ 3.000 por mês,"Se possível experiência com contas a pagar, receber e emissão de NFe.Ensino Superior cursando ou interrompido (Preferencial).",
195,Analista Pleno de Impostos Indiretos,Diageo,"São Paulo, SP",,"Atualizar as bases de dados de impostos indiretos, inserindo parâmetros nos sistemas;Liderar o desenvolvimento e implementação de soluções de problemas…",
196,Analista de Dados,Matrix Energia,"São Paulo, SP",,"Nesta oportunidade você será o vínculo entre as áreas de negócio da Matrix e o universo de dados, entendendo as necessidades e traduzindo-as em análises e…",
197,Analista de Dados e Business Intelligence (BI) pleno (remoto...,Lean Saúde,"Home office in Vila Mariana, SP",,"Automatização da captura e extração de dados obtidos por fontes diversas (API, RPA/web scraping, SFTP, bancos de dados, planilhas, e-mail, etc.).",
198,Analista PL de métricas e indicadores de Governança de TI.,Experian,"São Paulo, SP",,"Portanto, acreditamos que trabalhar conectados como um time único e em um ambiente dinâmico e desafiador é extremamente importante para o crescimento pessoal e…",
199,Analista de Customer Success Junior - Onboarding,iugu,"Hybrid remote in São Paulo, SP",,"Por isso, cada uma das pessoas tem um papel importante na construção da iugu.Experiência prévia em atendimento ao cliente.O que você vai encontrar na iugu.",
200,Analista de Dados Sênior - Crédito,Ame Digital,"São Paulo, SP",,"Linguagem SQL para exploração dos dados nos data warehouses;Criação de Dashboards em Power BI, através de captura de dados de diversos Bancos de Dados através…",
201,ANALISTA DE COMPLIANCE II,HDI Seguros,"Home office in São Paulo, SP",,"Temos no nosso TIME os melhores, pessoas incríveis que amam desafios e são eles que nos fazem pensar fora da caixa e inovar sempre.",
202,Analista de Mídia JR (Varejo),Mirum,"Home office in São Paulo, SP",,Criação e gerenciamento da performance das campanhas em mídia.Day-off no mês do aniversário;Licença maternidade estendida (mães 6 meses e pais 30 dias).,
203,Pessoa Analista de redes III,NAVA - Technology for Business,"Home office in Barueri, SP",,"Tratar chamados críticos, suportando o time do NOC em eventos de roteadores, switches, access points, firewall Check Point, Palo Alto, ENSX, IPS, ISE e Proxy,…",
204,ANALISTA DE DADOS,SBF Sem Limites - PCDs,"São Paulo, SP",,"Entre em movimento com uma equipe que joga junto e valoriza o respeito e a colaboração.Criação de dashboards, indicadores e mapeamento em camada semântica no…",
205,3967- ANALISTA DE NEGOCIOS SR_SP,Sinqia,"Home office in São Paulo, SP",,"Ser o ponto focal do cliente para atendimento;Nossa expressão tem carisma, somos abertos e cativantes no jeito de agir e comunicar.",
206,Analista de operações I,MetLife,"São Paulo, SP",,"Elaboração de material para pesquisa (templates, base de dados, etc.);Na MetLife, você será parte de um time que trabalha com muita paixão, colaboração e…",
207,Analista de Testes Automatizados,Job Boards,"São Paulo, SP",,Experiência na ferramenta Tableau em diferentes projetos;,
208,ANALISTA DE PRICING SR,Kroton,"São Paulo, SP",,"Gerenciamento semanal de preços e ofertas, bem como a elaboração de lotes, regulamentos e comunicados.Conhecimento de Power Point e Excel Avançado;",
209,Analista de Compras Técnicas Júnior,Assaí Atacadista - O atacadista que mais cresce no...,"São Paulo, SP",,"Realizar cotações junto à fornecedores;Prestar suporte ao compradores da área;Ter conhecimento no pacote office, sendo Excel nível Avançado;",
210,Analista de Planejamento Estratégico JR,Alelo,"Home office in Barueri, SP",,"Estamos, pelo oitavo ano consecutivo, entre as 150 melhores empresas para se trabalhar.Porque o reconhecimento das conquistas individuais é bom, mas reconhecer…",
211,Analista Administrativo Jr - Processo Seletivo Externo,Duratex,"São Paulo, SP",,"O nascimento da Hydra é marcado pela Inovação.A Portinari é a única marca brasileira do setor que pratica sustentabilidade com certificação LEED Compliance,…",
212,Analista de Telecomunicações - Global Centro SP,Global Empregos,"São Paulo, SP",,"Analista de Telecomunicações - Global Centro SP - Analista de Telecomunicações - CLT - 01 - 2.000,00 - São Paulo, SP, Brasil - Desejável Ensino médio completo …",
213,Analista Financeiro em Eventos - São Paulo,COPASTUR VIAGENS E TURISMO,"Home office in São Paulo, SP",,VT - o valor necessário para a sua vinda ao trabalho;Allya - descontos diversos para o seu salário render mais;,
214,Analista Serviço Cliente Junior,Vem Pra Vivo,"São Paulo, SP",,"Alimentar a base de conhecimento de erros conhecidos, inserindo todos os dados analisados no MIRA;Dir. Serviço ao Cliente Centralizado.",
215,Analista de Suporte Windows Pleno,Telium,"São Paulo, SP",,Ser o mais completo provedor de soluções de internet do Brasil e reconhecido pela excelência no atendimento aos clientes.,
216,Analista de Negócios - LGPD,nstech,"Home office in São Paulo, SP",,A Praxio está em constante crescimento no mercado e gostaríamos de trazer novas pessoas para nosso time.Visão analítica para identificar possíveis riscos ou…,
217,Analista de Serviço ao Cliente,Emede,"São Paulo, SP",,Conhecimento em office ou similar aos sistemas informatizados;O Grupo EMEDE atua nos mais variados segmentos na área da saúde.,
218,Analista de Inventário,Penske,"São Paulo, SP+1 local",,"Superior em Administração, Logística, Gestão ou áreas afins.",
219,Analista de Dados (PCD),Itaú Unibanco,"São Paulo, SP",,Vale Refeição (Restaurantes) / Vale Alimentação (Supermercados).Descontos exclusivos em nossos produtos financeiros.,
220,Analista de Qualidade de Dados,Keyrus Brazil,"São Paulo, SP",,"Experiência framework DAMA DMBOK - Governança de Dados Conheciemnto Arquitetura MDM - Master Data Management Conhecimentos modelagem de dados conceitual, logica…",
221,4811 - Analista de Produção - (SUN/Solaris),GLOBAL HITSS,"São Paulo, SP",,Experiência na plataforma SUN/Solaris.,
222,Analista de Dados,Vagas MRM Brasil,"Hybrid remote in São Paulo, SP",,"Atuamos na aquisição, modelagem, armazenamento, processamento e distribuição dos dados através de reports e dashboards.O que o candidato vai fazer na área.",
223,Analista de Compliance Legal Pleno,Duratex,"São Paulo, SP",,"Desenvolver e aplicar treinamentos aos colaboradores sobre compliance, integridade e Código de Conduta da Dexco;",
224,Analista de Telecom Sênior - Dados,Digisystem,"São Paulo, SP",,Redes e Segurança de Redes Conhecimentos Telecom para Dados CISCO CERTIFIED NETWORK ASSOCIATE - (CCNA) CISCO CERTIFIED DESIGN ASSOCIATE - (CCDA) CISCO CERTIFIED…,
